age,goals,assists,annual_wage,non_penalty_goals,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play,play_time,shots_touches,position_DF,"position_DF,FW",position_FW,"position_FW,MF",position_MF,"position_MF,DF",league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A
34.0,0,0,3021160.0,0.11,2.16,64.15,0.831,5.08,0.97,0.0,2.49,0.76,0.54,0.76,1.84,1.41,-0.3573753679181046,-1.9169781274364208,-1.7578471401733302,False,True,False,False,False,False,False,False,False,True,False
21.0,0,0,1812696.0,0.0,0.83,34.55,0.865,2.48,1.45,0.62,1.66,1.66,0.31,0.83,1.34,0.21,-0.3573753679180987,-1.5783104514933914,-1.037676021314491,True,False,False,False,False,False,False,False,False,True,False
21.0,0,0,1510580.0,0.0,0.85,25.79,0.781,1.37,1.37,0.51,2.9,2.9,0.17,1.88,1.71,0.68,-0.3573753679180987,-1.6388089140666926,-0.5233166474947756,False,False,False,True,False,False,False,False,False,True,False
28.0,1,0,120000.0,0.15,1.89,27.63,0.579,1.45,1.02,0.44,5.09,0.44,0.15,1.16,1.31,6.54,-0.3573753679180987,-1.4692865984243753,1.6196802014555545,False,False,True,False,False,False,True,False,False,False,False
26.0,0,2,5438089.0,0.0,1.3,50.27,0.837,3.85,1.43,0.82,2.77,2.38,2.16,1.34,3.5,0.99,-0.3573753679180987,0.4209612390930316,-1.1925241798963844,True,False,False,False,False,False,False,False,False,True,False
27.0,0,0,1280000.0,0.0,2.09,40.43,0.691,2.23,1.6,0.42,4.53,1.46,0.49,0.84,1.12,0.42,-0.3573753679180987,-0.168700795151809,-1.5038536613305693,True,False,False,False,False,False,False,False,False,False,True
21.0,2,0,900000.0,0.11,0.63,64.57,0.88,3.7,0.42,0.48,0.11,2.75,1.37,1.96,3.38,1.64,-0.3573753679180987,0.3745479408723888,-1.1436791718580168,True,False,False,False,False,False,False,False,True,False,False
26.0,3,3,770000.0,0.18,3.06,34.5,0.799,3.06,3.24,1.98,4.5,1.71,0.36,1.53,0.63,0.9,1.319999010333596,-0.8317821918217143,0.8372402254388596,False,False,False,True,False,False,False,False,False,False,True
29.0,2,1,320000.0,0.31,5.41,49.33,0.796,4.64,6.03,1.55,10.67,1.55,0.62,0.62,0.62,0.93,-0.3573753679180987,-1.3049093163542784,1.3135262816620326,False,False,False,True,False,False,False,False,True,False,False
31.0,7,1,7855017.0,0.26,2.35,30.04,0.756,3.21,1.89,0.79,4.83,1.42,0.53,0.83,0.56,0.83,-0.3573753679180987,2.1685949268543725,0.8291531171686817,False,False,False,True,False,False,False,False,False,True,False
30.0,2,0,1100000.0,0.0,1.79,48.74,0.831,5.94,0.85,1.18,0.98,1.83,1.02,1.22,1.3,1.71,2.997373388585291,1.5655453843258418,-0.7004520507993743,False,False,False,False,True,False,False,False,True,False,False
25.0,1,0,350000.0,0.05,0.4,39.85,0.797,2.02,0.35,0.05,0.2,1.06,1.16,1.46,4.34,1.92,-0.3573753679180987,0.2011637580904612,-1.481857289792439,True,False,False,False,False,False,False,True,False,False,False
31.0,6,1,380000.0,0.43,1.72,17.44,0.557,1.86,0.57,0.64,3.43,0.36,0.14,0.36,0.86,3.07,-0.3573753679180987,0.1219767211834538,1.0373909946888562,False,False,False,True,False,False,False,True,False,False,False
25.0,3,2,360000.0,0.2,2.94,31.18,0.78,4.12,2.84,1.57,5.2,0.78,0.78,0.39,0.29,0.49,1.319999010333596,-0.9509982137170028,-0.021103678696689887,False,False,False,True,False,False,False,False,True,False,False
23.0,0,1,1000000.0,0.0,1.2,52.89,0.762,2.78,1.2,0.62,4.17,1.63,0.96,1.29,3.36,0.82,-0.3573753679180987,-0.0391553324974508,-0.9577452199381657,True,False,False,False,False,False,False,True,False,False,False
21.0,2,3,1880000.0,0.39,2.96,26.52,0.788,2.86,2.86,0.89,5.72,1.18,0.39,0.89,0.3,1.28,-0.3573753679180987,-1.186195153891618,3.2946559625391587,False,False,False,True,False,False,True,False,False,False,False
36.0,0,1,5438089.0,0.0,3.13,55.27,0.889,4.28,1.15,0.31,6.57,1.04,0.42,0.21,0.1,0.31,-0.3573753679180987,-0.3911268657931524,0.5702749498698357,False,False,False,True,False,False,False,False,False,True,False
31.0,1,0,1670000.0,0.03,1.04,54.65,0.832,3.42,1.02,0.39,3.03,1.33,0.99,0.86,1.9,0.83,-0.3573753679180987,2.850985659222329,-1.5820540279545527,True,False,False,False,False,False,False,False,False,False,True
30.0,0,0,1150000.0,0.0,1.0,58.09,0.844,3.74,0.25,0.17,0.75,1.83,0.91,1.33,2.99,2.58,-0.3573753679180987,-0.789199632353906,-1.3368590977270465,True,False,False,False,False,False,False,False,False,False,True
